Feature1,Feature2
7.5016170073302115,7.818243398988218
2.40938623109757,0.5237128197529428
9.894152703233347,6.42627687808833
8.917481682965803,2.232538716545208
4.051307095692157,3.428862876966642
8.876885817863233,3.865325792746397
5.0457627381480386,8.984525992950934
8.715191234202551,0.6628857279063227
7.259807063033988,1.5624187357422592
8.377512836723342,8.865581913922858
7.775074903665164,1.779117078622886
0.4456043081156291,2.2457957512310687
5.427567843833888,9.008679643196402
5.697886720560485,3.5255594367496004
0.5161389592981458,1.8833404802294518
1.5601312246409382,8.127964275779428
9.494049967350138,9.785748643817115
7.510449961870638,2.2741550345608785
2.360820277587065,3.9351902347470826
1.9478371437351893,3.3102858310130734
0.34785928457794046,9.204687743528662
2.01300634622653,8.228546494208688
8.998267177372153,1.6137000858903228
9.164218985407533,2.3902865637503234
4.587874596204069,8.044167901332381
3.5738829210338805,7.404228878095448
5.3551884702246175,7.406678881489687
5.8129264913825835,9.156935137803348
5.144377451535105,6.979671926822557
1.6039829145418327,7.219518467742827
8.015081909989743,0.6919750189034801
1.4852256539879738,2.99713978765611
4.748149669236894,6.424665546123297
1.5308709388204345,2.0223905881054725
5.4988144190987756,4.749174829223188
5.011848113611457,5.558594476093102
4.416397329249784,9.328121796039841
9.980859108645427,4.617443469115999
8.262543400082016,6.073433097832054
1.3838168036616094,9.751501421381576
1.271219692508604,7.110782516101234
3.2768172629848067,4.23049818852065
7.720402339764206,6.748445756594851
2.495953655665982,8.995898051534772
6.627150075482676,5.127151050426139
5.18564232032042,9.451200882174664
5.475515165603769,4.296627368536337
8.674022684856673,3.1224457618348387
2.3974596959090655,1.6056777906002262
6.460154177459021,4.901301240031004
5.544695749177943,5.570479711433832
9.110684703237219,4.82039031159562
4.78351163340884,9.392459309512077
9.116144204623449,2.336473284460027
0.8186158498273277,7.935572202874559
3.4916409810036098,3.958460257015155
1.8012543388445224,5.092550578643536
6.9524900993181,0.6161036067132719
4.828623732889717,8.641055748430631
7.900971116452597,9.682949505344611
3.318650773865792,8.076274669427104
3.7747770896888957,9.45373529082536
8.182234400026578,8.175771480672605
8.765393105984865,9.977872611639167
2.9020327311600536,2.5017397455969617
1.15330998350338,6.861266287215411
8.38273581043799,0.5280046248692261
7.710382350515117,3.8364731585854353
9.151508852092421,4.535028322813038
3.0031000424593026,8.329412172744837
1.3248324786021526,5.057752436999156
1.0843583776885835,1.9480182982189276
6.231740096975132,8.325288363078203
4.880621144552557,5.678668404575065
6.323396749661002,9.65862575104033
5.912535445673494,1.3410872747439406
2.9077223902554863,3.394320223394235
0.11129038373061118,4.428398841963894
4.324651875533636,3.4164381954592393
4.549810012306997,4.371858473625219
1.497889931533135,3.2416178347074265
8.35882417113014,4.880255876696367
4.9858191912073995,6.642726898812184
9.282405004040134,1.5953405400449183
6.701369105036067,7.895179072084662
2.1876497336128873,6.030936924466912
0.6576669666162571,9.22035062015592
7.693782664872996,4.0731837639945745
2.572382246382403,2.378424480601742
2.8397574067555267,1.4648003765138706
8.023550635979266,6.546490768425822
2.1336276442612334,7.0947208513020845
9.466876241281168,7.594552206023809
3.02223619256924,8.391760549343076
3.1991145420165576,5.424017389096949
7.740622214573856,7.2114227961912345
0.8551901903007897,8.119161882636035
6.851852737460912,9.994257649375584
9.387386300149721,1.551361546303266
1.1787361822834408,0.5166131540705532
